State,Official name of EMA,Local EMA page,Main Phone #,Local EMA name,Local EMA / EOC page,Notes
New Hampshire,New Hampshire Homeland Security and Emergency Management - Department of Safety (HSEM),https://www.nh.gov/safety/divisions/hsem/,603-271-2231,,,No clear place but googling individually seems do-able 
New Jersey,State of New Jersey Office of Emergency Management (NJOEM),https://www.nj.gov/njoem/,609-963-6900,NJOEM County Coordinators,https://nj.gov/njoem/about-us/county-coordinators.shtml,
New Mexico,New Mexico Department of Homeland Security and Emergency Management (DHSEM),https://www.dhsem.nm.gov/,505-476-9600,,,
New York,NYS Division of Homeland Security and Emergency Services (DHSES),https://www.dhses.ny.gov/office-emergency-management,518-242-5000,New York Field Operations,https://www.dhses.ny.gov/field-operations,
North Carolina,North Carolina Department of Public Safety - Emergency Management (NCEM),https://www.ncdps.gov/our-organization/emergency-management,919-825-2500,NCEM Area Coordinators,https://www.ncdps.gov/ncem-area-coordinators-contact-map,page with a pdf link on it 
North Dakota,North Dakota Department of Emergency Services (NDDES),https://www.des.nd.gov/,701-328.8100,North Dakota Emergency Management Regions,https://www.des.nd.gov/contact/countytribal-contacts,
Northern Mariana Islands,,,,,,
Ohio,Ohio Emergency Management Agency (Ohio EMA),https://ema.ohio.gov/,614-889-7150,Ohio County Emergency Managers,https://webeoctraining.dps.ohio.gov/ohiocountyEMADirectorList/countyemalist_web.aspx,
Oklahoma,Oklahoma Department of Emergency Management (OEM),https://oklahoma.gov/oem.html,405-521-2481,,,
Oregon,Oregion Department of Emergency Management (ODEM),https://www.oregon.gov/OEM/Pages/default.aspx,971-719-0991,Oregion Regional Coordinators Program,https://www.oregon.gov/oem/emresources/Pages/Regional-Coordinators-Program.aspx,
Pennsylvania,Pennsylvania Emergency Management Agency (PEMA),https://www.pema.pa.gov/Pages/default.aspx,717-651-2001,PEMA Emergency Management Coordinator,https://www.pema.pa.gov/County-EMC/Pages/default.aspx,Link to pdf is a bit hard to find
Puerto Rico,Negociado para el Manejo de Emergencias y Administracion de De Desastres (NMEAD),https://manejodeemergencias.pr.gov/huracanes/,787-724-0124,,,Need a spanish speaker to did deeper into site 
Rhode Island,State of Rhode Island Emergency Managment Agency (RIEMA),https://riema.ri.gov/,401-946-9996,Rhode Island Local Contacts,https://riema.ri.gov/planning-mitigation/local-contacts,
South Carolina,South Carolina Emergency Management Division (SCEMD),https://www.scemd.org/,803-737-8500,South Carolina County Emergency Managers,https://www.scemd.org/who-we-are/county-emergency-managers/,
South Dakota,South Dakota Department of Public Safety - Office of Emergency Management (OEM),https://dps.sd.gov/emergency-services/emergency-management,605-773-3231,South Dakota County and Tribal Emergency Managers,https://dps.sd.gov/emergency-services/emergency-management/response/county-emergency-managers,
Tennessee,Tennessee Emergency Management Agency (EMA),https://www.tn.gov/tema.html,615-741-0001,Tennessee Local EMA,https://www.tn.gov/tema/prepare/regional-ema-contacts.html,
Texas,Texas Division of Emergency Management (TDEM),https://www.tdem.texas.gov/,512-424-2208,TDEM Regional Contacts,https://tdem.texas.gov/regions,"Link is a bit confusing. You'd have to go to your region, then look at what district your county is in and contact the district person who oversees multiple counties "
U.S. Virgin Islands,"Virgin Islands Territorial (VITEMA)
Emergency Management Agency",https://vitema.vi.gov/,340-774-2244,VITEMA Contacts,https://vitema.vi.gov/about/contact-us,There is a main (on st. thomas) but also a St Croix and a St John office on that contact page 
Utah,Utah Division of Emergency Management (DEM),https://dem.utah.gov/,801-538-3400,Utah Regional Contacts,"https://dem.utah.gov/#:~:text=invest%20tax%20dollars.-,Find%20my%20Emergency%20Manager,-Safety%20Topics","The easiest way to find the local is to go to the main page, scroll down to find my emergency manager, and switch from map view to list view. Unclear if we can just link to Esri directly? "
Vermont,Vermont Emergency Management (VEM),https://vem.vermont.gov/,800-347-0488,Vermont Emergency Management Regional Coordinators ,https://vem.vermont.gov/programs/emd/partners,
Virginia,Virginia Department of Emergency Management (VDEM),https://www.vaemergency.gov/,804-267-7600,VDEM Regional Offices,https://www.vaemergency.gov/divisions/regions-and-local,
Washington,Washington State Emergency Management Division (EMD),https://mil.wa.gov/emergency-management-division,253-912-4901 ,EMD County Contacts,https://mil.wa.gov/emd-contact-us,
District of Columbia,District of Columbia Homeland Security and Emergency Management Agency (HSEMA),https://hsema.dc.gov/,202-727-6161,,,
West Virginia,West Virginia Emergency Management Division (WVEMD),https://emd.wv.gov/Pages/default.aspx,304-558-5380,West Virginia Local Emergency Management Agencies,https://emd.wv.gov/Preparedness/Pages/Emergency-Information-.aspx,
Wisconsin,Wisconsin Emergency Management (WEM),https://wem.wi.gov/,608-242-3000,WEM Regional Offices,https://wem.wi.gov/regional-offices/,
Wyoming,Wyoming Office of Homeland Security (WOHS),https://hls.wyo.gov/,307-777-4900,Wyoming County Coordinators,https://hls.wyo.gov/contacts/county-contacts,
