OBJECTID,State,Abbr,Region,EMA+E:GC,EMAC Description,IMAS,IMAS Description,EMAC Public/Private,IMAS Public,IMAS Private,Private/Volunteer Responder In-State Benefits & Protections,Engineer,Architect
2,Florida,FL,4,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,"State has an enhanced compact. State empowers the Florida State Guard, which consists of non-military volunteers commissioned by the Governor, to provide support to other states under EMAC. The Florida State Guard may be activated during any period when any part of the Florida National Guard is in active federal service and the Governor has declared a state of emergency.","Florida Division of Emergency Management has developed a statewide mutual aid agreement to enter into with political subdivisions that opt to do so, forming a statewide opt-in system.",State permits emergency management support forces to include persons not employed by the state or its political subdivisions.,"Emergency support personnel not employed by the state or its political subdivisions but operating under the operational control of an emergency management authority receive the same rights and immunities as employees of the state, reimbursement for travel
and subsistence expenses, and such compensation as determined by the Division of Emergency Management. Subject to certain statutory conditions and requirements (see cited statute), certain volunteers for nonprofit organizations are not liable for any act or omission resulting in personal or property damage. In addition, licensed professionals providing their services without compensation during and arising out of a declared emergency are not liable for professional malpractice if acting as an ordinary, reasonably prudent member of the profession would under similar circumstances.",No,No
22,Georgia,GA,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.","State has a standard compact with no known significant incorporation of private resources into EMAC. State empowers the Georgia Emergency Management and Homeland Security Agency to incorporate state volunteer health practitioners into Georgia’s emergency forces and deploy them through EMAC. State authorizes mobile support units, which may consist of persons not employed by the state or any of its political subdivisions, to be deployed inside or outside of Georgia, but the statute does not explicitly integrate this into Georgia’s EMAC.",State utilizes individual compacts.,"State broadly defines “Emergency Management” as essentially all non-military activities intended to minimize damage resulting from disasters, and explicitly includes engineering. State explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes. State’s subdivisions may appoint or employ paid and unpaid emergency management workers.","Personnel not employed by the state or a political subdivision thereof who are serving in a mobile support unit under the control of an emergency management public authority receive “adequate” compensation, along with identical rights and immunities with state
employees, and reimbursement for travel and subsistence expenses. For civil liability immunity purposes, volunteer and auxiliary emergency management workers receive the same protection as state employees, but must also meet the same conditions defined
in the statute (see citation in footnote). Persons providing goods or services voluntarily and without compensation or expectation of compensation for emergency management purposes, in coordination with and under the direction of an appropriate state agency,
during an emergency declared by the governor are not liable for civil damages for harm resulting from their acts or omissions in rendering such services except in cases of willful or wanton negligence or misconduct.",No,No
56,Guam,GU,9,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",Territory has a standard compact with no known significant incorporation of private resources into EMAC.,Not Applicable: Territory does not have political subdivisions with building departments that would participate in an IMAS.,No known significant private mutual aid policies.,"No known legislation extending legal protections to private, non-medical emergency responders.",No,No
52,Hawaii,HI,9,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State defines “emergency responder” to include any person with specialized equipment operation skills or training or any other skills necessary to provide aid in an emergency, regardless of whether the person possesses a license, certificate, permit, or other official recognition for expertise in a particular field or area of knowledge.","Volunteers engaged in emergency management services for the state or a county, whose services have been accepted by any authorized person, are deemed employees of the state or county, are entitled to all benefits provided by Hawaii’s Workers’ Compensation
Law in case of injury or death arising out of and in the performance of duty in accordance with Hawaii emergency management laws, and are immune from civil liability for harm to persons or property as a result of any act or omission in the course of performing those
duties except in cases of gross negligence, willful misconduct, or recklessness. All persons, including volunteers whose services have been accepted by authorized persons, while engaged in the performance of duty pursuant to State’s IMAS laws, are deemed to be employees of the responding county and have the powers, duties, rights, and privileges of an employee of the responding county in the performance of those duties, except as may be prescribed by or under the authority of the mayor of the responding county.",No,No
50,Iowa,IA,7,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-in IMAS.,"State waives certain legal requirements (mostly pertaining to tax, licensure, and registration) for out-of-state businesses and employees performing disaster-related services in-state during a disaster response period.","Except in cases of recklessness or willful and wanton misconduct, in-state licensed architects and professional engineers who, during a governor-proclaimed disaster emergency or a presidentially-declared major disaster, in good faith and at the request or with the approval of an appropriate public authority (see cited statute) believed by the professional to be acting in an official capacity, voluntarily and without compensation other than expense reimbursement provide architectural, engineering, structural, electrical, mechanical, or other design professional services related to the disaster are not liable for civil damages for their acts or omissions resulting from the services provided.",Yes,Yes
7,Idaho,ID,10,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.","State has a standard compact with no known significant incorporation of private resources into EMAC. Idaho separately enacts another Interstate Mutual Aid Compact effective between Idaho and any other state that enacts the same or substantially identical compact. Under the terms of that compact: (1) all privileges and immunities from liability, exemptions from law, ordinances, and rules and workers' compensation and other benefits that apply to duly enrolled or registered volunteers when performing their respective functions at the request of their state and within its territorial limits apply to the same extent while performing their functions extraterritorially under the provisions of this compact; and (2) volunteers may include but are not limited to physicians, surgeons, nurses, dentists, structural engineers, and trained search and rescue volunteers.",State encourages individual compacts among political subdivisions.,No known significant private mutual aid policies.,"Persons holding a license, certificate, or other permit issued by any state or political subdivision thereof evidencing the meeting of qualifications for professional, mechanical, or other skills, may render aid involving that skill in Idaho to meet an emergency or disaster proclaimed by the governor, and Idaho shall give due recognition to the license, certificate, or other permit. Except in cases of willful misconduct or gross negligence, no person, firm, corporation or entity under contract with the state or an agency or political subdivision thereof to provide equipment or work to be used in civil defense, disaster or emergency planning, preparation or relief, while complying with or attempting to comply with the relevant laws and regulations (see cited statute), shall be liable for the death of or any injury to persons or damage to property as a result of such activity. Under Idaho's Worker's Compensation law, every person who is a volunteer emergency responder is deemed for the purposes of that law to be in the employment of the political subdivision or municipality where the department, agency, or organization is organized, and every person who is a regularly enrolled volunteer member or trainee of the department of disaster and civil defense, or of a civil defense corps, is deemed for the purposes of that law to be in the employment of the state. But consult Idaho's Worker's Compensation law for particular details on the coverage and benefits that apply to emergency responders during emergency management service. No architect, engineer, or contractor may be held liable for personal injury, wrongful death, property damage, or other loss related to any architectural, structural, electrical, mechanical, construction, design, or other professional service provided by the architect or engineer, voluntarily or without compensation, or the contractor at the request or approval of a national, state, or local public official in response to a declared national, state, or local emergency, a disaster, or a catastrophic event, where there services are rendered within ninety (90) days following the end of the declared emergency, disaster, or catastrophic event unless extended by executive order of the governor.",Yes,Yes
3,Illinois,IL,5,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact. State law provides for incorporation of volunteer health practitioners into its EMAC system. Illinois allows licensed professionals serving in mobile support units from other states during the time the disaster continues to render emergency relief services in Illinois pursuant to their home state governor’s order and the request of the Illinois governor without being licensed in Illinois.,State uses individual compacts.,State broadly defines “Emergency Services” as essentially all non-military activities to minimize damage resulting from disasters. State explicitly empowers its governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.,"Volunteers who are working under the direction of an emergency services agency accredited by the Illinois Emergency Management Agency (IEMA), pursuant to a plan approved by that Agency, during circumstances approved by that Agency or a disaster declared by the governor, are deemed employees of the state in certain cases. Volunteers duly qualified and enrolled (sworn in) as volunteers with IEMA or an IEMA-accredited emergency services agency, who are participating in a disaster or an exercise or training related to an emergency operations plan of the jurisdiction (and the plan was expressly approved by IEMA beforehand), are treated as state employees for workers’ compensation purposes. Except in cases of gross negligence or willful misconduct and cases where an act or omission on part of the emergency response worker or organization caused in whole or in part the disaster, persons and organizations under the direction of the state or a political subdivision thereof are not civilly liable for harm to persons or property resulting from the performance of a contract with the state or subdivision made pursuant to the Illinois Emergency Management Agency Act. Except in cases of willful misconduct, and cases where an act or omission on part of the emergency response worker or organization caused in whole or in part the disaster, persons and organizations rendering advice or assistance at the request of the state or a political subdivision thereof under the Illinois Emergency Management Act during an actual or impending disaster are not civilly liable for harm to persons or property resulting from such advice or assistance. Any professional engineer, architect, land surveyor, or structural engineer who in good faith, without fee, provides professional services in response to a disaster or other catastrophic event shall not be liable for civil damages as a result of his or her acts or omissions in providing the professional services, except for willful and wanton misconduct. This immunity applies to services that are provided without fee during or within 60 days following the end of a disaster or catastrophic event.",Yes,Yes
45,Indiana,IN,5,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.","State has an enhanced compact. State authorizes mobile support units, which may consist of private personnel, to be deployed through EMAC.",State adopts a statewide opt-out IMAS.,State allows participating jurisdictions to engage private companies in the provision of mutual aid. State defines “Emergency Management Worker” to include paid and volunteer employees of any organization performing emergency management services in Indiana under the control or request of the state or a political subdivision thereof.,"Personnel serving in a mobile support unit under the control of an emergency management public authority may be compensated and reimbursed by the state for travel, subsistence, and maintenance expenses, and for losses of or damage to supplies and equipment; they
are also given the same immunity as state employees and are considered temporary state employees for workers’ compensation purposes. Personnel provided by a participating jurisdiction are considered agents of that jurisdiction for purposes of tort liability and
immunity while rendering aid and while en route to or from a jurisdiction which has requested the aid. In-state registered architects, surveyors, and professional engineers who, voluntarily and without compensation other than expense reimbursement, provide their professional services related to a declared emergency at the request or with the approval of a Federal or state official having law enforcement, public safety, or building inspection authority in the jurisdiction and believed by the volunteer to be acting in an official capacity are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in the performance of such services.",Yes,Yes
44,Kansas,KS,7,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State defines “Emergency Management” as all functions, other than those for which military forces or other federal agencies are primarily responsible, to prevent, minimize and repair injury and damage resulting from disasters. State defines “Emergency Responder” broadly as any public or private sector person with appropriate qualifications (see cited statute) who is requested or authorized (or both) to respond to an IMAS-participating local jurisdiction in response to a locally-declared emergency. State empowers the governor and political subdivisions to accept equipment and services from private entities for disaster response and emergency management purposes.","State deems all activities performed under the Intrastate Mutual Aid Act to be governmental functions, and deems all persons responding under the operational control of the requesting jurisdiction to be employees of that jurisdiction for liability purposes. Except in cases of willful misconduct, gross negligence, or bad faith, such persons are not liable for harm to persons or property resulting from their emergency management activities when complying or attempting to comply with the Kansas Mutual Aid System. Volunteers providing emergency management services during a state-declared state of emergency and complying with or reasonably attempting to comply with applicable laws (see cited statute) are not liable for harm to persons or property resulting from their service except in cases willful misconduct, gross negligence, or bad faith. Except in cases of gross negligence or willful misconduct, in-state licensed architects and professional engineers who voluntarily and without expecting or receiving compensation provide structural inspection services at the scene of a declared natural disaster emergency at the request of a public official acting in an official capacity are immune from negligence liability for harm resulting from their good faith but negligent inspection of a structure used for human habitation or a structure owned by a public entity if performed within 90 days of the disaster.",Yes,Yes
33,Kentucky,KY,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",Commonwealth has a standard compact with no known significant incorporation of private resources into EMAC.,"Commonwealth utilizes individual compacts. However, Commonwealth law also provides that all local emergency management agencies or local disaster and emergency services organizations in the Commonwealth shall be under the directionof the director of the Division of Emergency Management of the Department of Military Affairs and of the governor when the latter deems that action necessary.",Commonwealth law defines “local disaster and emergency services organization” to include public and private entities and provides that all local disaster and emergency services organizations in the Commonwealth shall be under the direction of the director of the Division of Emergency Management of the Department of Military Affairs and of the governor when the latter deems that action necessary.,"Except in cases of wanton, willful, malicious, or intentional misconduct, volunteer or auxiliary emergency response workers enrolled or registered with a political subdivision of the commonwealth in accordance with applicable statutes (see citation in footnote) and
complying or reasonably attempting to comply with applicable legal requirements (see citation in footnote) are not liable for death, injury, or property damage as a result of that activity. Except in cases of gross negligence or wanton, willful, or intentional misconduct,
in-state licensed architects and engineers are not liable for civil damages for harm to persons or property resulting from their acts, errors, or omissions in rendering their professional services related to and at the scene of a declared emergency, and within 90
days following the end of the period for the declared emergency, if they act at the request of an appropriate government official (see footnote) whom they believe to be acting in an official capacity and they act as an ordinary, reasonably prudent member of the profession
would have acted under the same or similar circumstances.",Yes,Yes
